FECHA;USD
1/5/2008;139.7371429
1/6/2008;144.079
1/7/2008;145.3527273
1/8/2008;145.7657895
1/9/2008;140.5572727
1/10/2008;121.4072727
1/11/2008;120.4370588
1/12/2008;116.97125
1/1/2009;128.0278947
1/2/2009;128.5094118
1/3/2009;127.7640909
1/4/2009;134.5795238
1/5/2009;147.34
1/6/2009;145.1731818
1/7/2009;137.8713636
1/8/2009;146.8657143
1/9/2009;145.6685714
1/10/2009;151.9495455
1/11/2009;150.2278947
1/12/2009;155.8614286
1/1/2010;154.4015789
1/2/2010;155.9242105
1/3/2010;162.1269565
1/4/2010;171.0621053
1/5/2010;174.0094444
1/6/2010;193.5240909
1/7/2010;205.2471429
1/8/2010;212.7995455
1/9/2010;222.1
1/10/2010;215.8371429
1/11/2010;227.9595
1/12/2010;237.328
1/1/2011;262.9447368
1/2/2011;288.0831579
1/3/2011;294.4834783
1/4/2011;302.7094737
1/5/2011;293.057619
1/6/2011;277.7777273
1/7/2011;269.18
1/8/2011;273.5421739
1/9/2011;275.5845455
1/10/2011;248.4928571
1/11/2011;249.504
1/12/2011;243.1446667
1/1/2012;240.89
1/2/2012;225.494
1/3/2012;201.8509091
1/4/2012;193.351
1/5/2012;186.3459091
1/6/2012;169.7895238
1/7/2012;190.7728571
1/8/2012;175.9669565
1/9/2012;179.6031579
1/10/2012;172.3740909
1/11/2012;160.6425
1/12/2012;154.63
1/1/2013;158.2728571
1/2/2013;152.9984211
1/3/2013;153.0115789
1/4/2013;152.9595455
1/5/2013;151.4254545
1/6/2013;138.855
1/7/2013;138.4395238
1/8/2013;135.63
1/9/2013;132.78
1/10/2013;128.8282609
1/11/2013;122.7484211
1/12/2013;126.7371429
1/1/2014;135.0333333
1/2/2014;176.2763158
1/3/2014;216.0595238
1/4/2014;226.9852381
1/5/2014;215.2380952
1/6/2014;198.9109524
1/7/2014;198.5909091
1/8/2014;214.5
1/9/2014;212.0052381
1/10/2014;227.0595652
1/11/2014;212.9261111
1/12/2014;200.59
1/1/2015;190.8983333
1/2/2015;179.94
1/3/2015;160.0222727
1/4/2015;164.9519048
1/5/2015;158.1733333
1/6/2015;159.7695455
1/7/2015;153.2922727
1/8/2015;158.7761905
1/9/2015;147.6542857
1/10/2015;153.8831818
1/11/2015;148.9368421
1/12/2015;149.815
1/1/2016;146.3215789
1/2/2016;148.94
1/3/2016;156.9372727
1/4/2016;154.2019048
1/5/2016;155.4042857
1/6/2016;165.8490909
1/7/2016;172.3525
1/8/2016;170.3421739
1/9/2016;178.0709524
1/10/2016;178.6242857
1/11/2016;185.1275
1/12/2016;162.5576471
1/1/2017;167.8275
1/2/2017;165.5584211
1/3/2017;159.3886364
1/4/2017;155.9005263
1/5/2017;151.1786364
1/6/2017;144.0990909
1/7/2017;151.69
1/8/2017;154.5921739
1/9/2017;149.715
1/10/2017;143.1218182
1/11/2017;144.24
1/12/2017;141.8328571
1/1/2018;144.1542857
1/2/2018;142.9268421
1/3/2018;140.2019048
1/4/2018;140.3685714
1/5/2018;141.6786364
1/6/2018;139.8328571
1/7/2018;133.0352381
1/8/2018;128.5486957
1/9/2018;124.3873684
1/10/2018;140.5756522
1/11/2018;142.115
1/12/2018;130.72125
1/1/2019;132.6185714
1/2/2019;134.4794737
1/3/2019;129.4042857
1/4/2019;128.44
1/5/2019;127.7922727
1/6/2019;137.965
1/7/2019;141.2852381
1/8/2019;134.4968182
1/9/2019;136.415
1/10/2019;133.4291304
1/11/2019;148.8084211
1/12/2019;164.44
1/1/2020;150.3566667
1/2/2020;145.8610526
1/3/2020;161.4627273
1/4/2020;163.7019048
1/5/2020;155.9275
1/6/2020;147.2809091
1/7/2020;151.4968182
1/8/2020;166.2426316
1/9/2020;169.0471429
1/10/2020;154.1218182
1/11/2020;154.477
